rindex,observation,fault_code (ground truth),rationale,failure_mode (ground truth text)
94,SINGGAR radio and FBCB system will not turn on when truck power is on,u6. NO POWER TO SINGGAR/FORCE XXI BATTLE COMMAND BRIGADE AND BELOW (FBCB),"The fault code concerns loss of power to both the SINGGAR radio and the FBCB system, so an operator would likely report that neither system powers up despite the truck being operational.",no power to singgar/force xxi battle command brigade and below (fbcb)
95,white smoke coming from exhaust when engine is running,a11. WHITE EXHAUST SMOKE.,"White smoke observed from the exhaust indicates incomplete combustion, which is often caused by restricted airflow or issues with the fuel system. This is a clear visual sign that directly aligns with the fault code.",white exhaust smoke.
96,hydraulic system is slow to respond or does not operate at all,l1. LOSS OF HYDRAULIC PRESSURE (SINGLE STAGE PUMP).,"A slow or non-responsive hydraulic system is a typical result of insufficient hydraulic pressure, which may be caused by low hydraulic oil level or air in the hydraulic lines.",loss of hydraulic pressure (single stage pump).
97,FAN OFF light does not turn on when the engine is running and fan is expected to be off,e31. FAN OFF INDICATOR DOES NOT ILLUMINATE.,"If the FAN OFF indicator does not illuminate when it should, the operator might notice the light stays off regardless of fan status, indicating a possible electrical or indicator fault as outlined in the troubleshooting steps.",fan off indicator does not illuminate.
98,a lot of water comes out when draining the air tanks,j2. LARGE QUANTITY OF MOISTURE EXPELLED FROM AIR RESERVOIRS.,"Draining the air reservoirs and noticing a large amount of water being expelled indicates excessive moisture buildup, which could point to a malfunctioning air dryer or water separator.",large quantity of moisture expelled from air reservoirs.
99,110 VAC outlets near the workbench do not work when the vehicle is in blackout mode,e106. M1079 110 VAC OUTLET J232 AND J233 DO NOT OPERATE IN BLACKOUT,"If the operator notices that the 110 VAC outlets J232 and J233 fail to provide power specifically in blackout mode, it matches the fault condition described and indicates an electrical power distribution issue or circuit protection activation.",m1079 110 vac outlet j232 and j233 do not operate in blackout
100,one or both low beam headlights do not turn on when the switch is set to low beam,e38. ONE OR BOTH HEADLIGHT LOW BEAMS DO NOT ILLUMINATE.,"If the operator notices that one or both low beam headlights fail to illuminate when turning the headlight switch to low beam, this directly matches the fault code and indicates an electrical or bulb issue.",one or both headlight low beams do not illuminate.
101,personnel heater fan does not turn on when switch is activated,e70. PERSONNEL HEATER FAN DOES NOT OPERATE.,"If the operator switches on the personnel heater fan and there is no airflow or noise from the fan, it is reasonable to conclude the fan is not operating, which matches the described fault code and troubleshooting steps.",personnel heater fan does not operate.
102,oil pressure gage needle does not move or stays at zero even after starting engine,e10. OIL PRESSURE GAGE DOES NOT OPERATE OR IS INACCURATE.,"If the oil pressure gage does not move or stays at zero after the engine is started, it indicates the gage is either not operating or giving an inaccurate reading, which matches the listed fault code and triggers the troubleshooting procedure.",oil pressure gage does not operate or is inaccurate.
103,left turn signal indicator light on dashboard does not light up when left turn signal is activated,e25. LEFT TURN SIGNAL INDICATOR DOES NOT ILLUMINATE.,"If the left turn signal indicator does not illuminate when the operator uses the turn signal, it directly matches the fault code and suggests an issue in the indicator circuit or bulb.",left turn signal indicator does not illuminate.
104,engine turns over but fails to start after repeated attempts,e5. ENGINE CRANKS BUT DOES NOT START.,"If the operator hears the engine cranking but the engine does not actually start running, this directly points to an issue where the engine receives mechanical motion but cannot ignite or sustain combustion.",engine cranks but does not start.
105,rear wheels feel extremely hot after driving,i7. REAR BRAKES OVERHEAT.,"The troubleshooting procedure targets overheating of the rear brakes, which an operator might notice as excessive heat coming from the rear wheel area after driving, possibly accompanied by a hot smell or even visible smoke.",rear brakes overheat.
106,Blackout lights do not turn on when switch is set to blackout mode.,e109. M1079 BLACKOUT LIGHT(S) DOES NOT ILLUMINATE.,"If the operator sets the switch to blackout mode and the blackout lights do not turn on, this matches the described issue in the fault code and aligns with the troubleshooting steps regarding breaker and system checks.",m1079 blackout light(s) does not illuminate.
107,intervehicle right turn signal light does not come on when right turn signal is activated,e66. INTERVEHICLE RIGHT TURN SIGNAL DOES NOT ILLUMINATE.,"If the intervehicle right turn signal does not illuminate when the turn signal is activated, it indicates a malfunction in the turn signal system or related wiring.",intervehicle right turn signal does not illuminate.
108,engine continues to run after turning master power switch to off,e14b. MASTER POWER SWITCH DOES NOT SHUT DOWN ENGINE.,"If the engine does not shut down when the master power switch is positioned to off, it directly indicates an issue with the master power switch circuit or its associated components.",master power switch does not shut down engine.
109,auxiliary panel lights do not turn on when main lights are switched to SER DRIVE,e21. AUXILIARY PANEL DOES NOT ILLUMINATE.,"If the auxiliary panel fails to light up when it should, it could indicate a tripped circuit breaker or another electrical issue preventing illumination, as outlined in the troubleshooting procedures.",auxiliary panel does not illuminate.
110,steering wheel shakes or vehicle feels unstable when driving,k2. WHEEL WOBBLES OR SHIMMIES.,"A shaking steering wheel or feeling of instability while driving can result from loose or missing wheel lugnuts or studs, or a bent wheel component, all of which can cause the wheel to wobble or shimmy.",wheel wobbles or shimmies.
111,rear brake air pressure gauge is not showing any reading or is stuck at an incorrect value,e8. REAR BRAKE AIR PRESSURE GAGE DOES NOT OPERATE OR IS INACCURATE,"If the rear brake air pressure gauge does not display any value or the reading does not match operating conditions, it indicates a malfunction or inaccuracy in the gauge or connected system. This is directly described in the fault code and troubleshooting steps.",rear brake air pressure gage does not operate or is inaccurate
112,rear marker light on van body does not turn on when vehicle lights are switched on,e98. M1079 VAN BODY MARKER LIGHT DOES NOT ILLUMINATE.,"If the marker light does not illuminate when the vehicle lights are activated, it matches the fault code indicating an inoperative marker light, which the operator can easily observe during pre-operation checks.",m1079 van body marker light does not illuminate.
113,dark smoke coming from the exhaust while driving,a10. EXCESSIVE BLACK OR GRAY EXHAUST SMOKE.,"Noticing dark, black, or gray smoke from the exhaust could indicate restricted airflow caused by a clogged air filter or damaged air intake components, as described in the troubleshooting steps.",excessive black or gray exhaust smoke.
114,engine is hard to start and shakes or sputters while idling,"a13. ENGINE STARTS BUT MISFIRES, RUNS ROUGH, OR LACKS POWER.","Difficulty starting the engine combined with shaking or sputtering indicates that the engine is misfiring, running rough, or not producing normal power. This could be caused by fuel delivery problems, restricted air flow, or ignition issues.","engine starts but misfires, runs rough, or lacks power."
115,overhead fluorescent lights in the cargo area do not turn on when the switch is flipped,e101. M1079 FLUORESCENT LIGHT(S) DS82 AND/OR DS83 DO NOT ILLUMINATE.,"If the operator attempts to turn on the fluorescent lights DS82 or DS83 and nothing happens, it is a clear indicator that the lights are not functioning as intended, matching the fault code description.",m1079 fluorescent light(s) ds82 and/or ds83 do not illuminate.
116,loud clunking or whining noise coming from under the truck while driving,n1. AXLE DIFFERENTIAL(S) NOISY.,"A loud clunking or whining noise from beneath the vehicle when it is in motion can indicate issues with the axle differentials, such as worn gears or lack of lubrication.",axle differential(s) noisy.
117,Oil pressure gauge light does not come on when the dashboard lights are turned on,e17f. OIL PRESS GAGE DOES NOT ILLUMINATE.,"If the oil pressure gauge fails to illuminate when the panel lights are switched on, it could indicate an electrical issue such as a faulty bulb or wiring, as described in the troubleshooting steps.",oil press gage does not illuminate.
118,brake lights and blackout stoplights do not turn on when brake pedal is pressed,e58. STOPLIGHTS AND BLACKOUT STOPLIGHTS DO NOT ILLUMINATE.,"If the stoplights and blackout stoplights fail to illuminate when the brake pedal is pressed, the issue could be with the bulbs, the circuit breaker, or the wiring related to those lights as outlined in the troubleshooting steps.",stoplights and blackout stoplights do not illuminate.
119,auxiliary panel lights do not turn on when the main light switch is set to SER DRIVE,e21. AUXILIARY PANEL DOES NOT ILLUMINATE.,"If the operator notices that the auxiliary panel remains dark even when the lights should be on, this matches the fault code and is consistent with possible tripped circuit breakers or a more complex electrical failure.",auxiliary panel does not illuminate.
120,steering wheel feels loose and requires a lot of turning before the wheels respond,p3. EXCESSIVE PLAY WHEN TURNING STEERING WHEEL.,"A loose-feeling steering wheel that turns excessively before the truck begins to steer is a clear operator observation for excessive play in the steering system, as outlined in the troubleshooting steps.",excessive play when turning steering wheel.
121,steering wheel is difficult to turn or does not respond when driving,s1. STEERING HARD OR DOES NOT OPERATE.,"Difficulty turning the steering wheel or a lack of response may occur if power steering fluid is low, there is an overfilled reservoir, or if there are hydraulic leaks. These issues directly correlate with the steps outlined in the troubleshooting procedures.",steering hard or does not operate.
122,heater fan does not turn on when switch is activated,e70. PERSONNEL HEATER FAN DOES NOT OPERATE.,"If the operator tries to use the heater and finds that no air is blowing or there is no response from the heater fan when the switch is turned on, it is a clear indication that the personnel heater fan is not operating.",personnel heater fan does not operate.
123,trailer brakes not working when connected to vehicle,j4. NO AIR PRESSURE PRESENT AT REAR GLADHAND(S).,"If there is no air pressure at the rear gladhands, the trailer brakes will not function because they rely on supplied air pressure from the towing vehicle. Operators may notice that air-powered trailer brakes do not activate when the service or parking brakes are applied.",no air pressure present at rear gladhand(s).
124,rear brake air pressure gage is not showing any pressure or is stuck at an incorrect reading,e8. REAR BRAKE AIR PRESSURE GAGE DOES NOT OPERATE OR IS INACCURATE,"If the rear brake air pressure gage fails to display pressure or appears stuck at an incorrect value, it suggests a malfunction in the gage itself or a possible problem with the air supply, as outlined in the troubleshooting steps.",rear brake air pressure gage does not operate or is inaccurate
125,CTIS indicator lights on the dashboard are all flashing at the same time while driving.,m3. FIVE CENTRAL TIRE INFLATION SYSTEM (CTIS) ECU INDICATOR LIGHTS FLASHING.,"Flashing of all five CTIS ECU indicator lights is a clear visual signal that the operator would notice, typically indicating a fault detected by the CTIS system.",five central tire inflation system (ctis) ecu indicator lights flashing.
126,battery tester will not power on when switched on,e95. BATTERY TESTER DOES NOT OPERATE.,"If the battery tester does not operate when the operator attempts to use it, this directly indicates that the tester itself is malfunctioning or not receiving power, leading to this fault code.",battery tester does not operate.
127,"windshield wipers only work on low and high speed, not intermittent",e74. WINDSHIELD WIPER SPEED DOES NOT OPERATE ON INTERMITTENT SPEED.,"If the wipers function on low and high speed but do not operate at all in intermittent mode, this matches the fault described and would prompt checking the circuit breaker and components related to the intermittent feature.",windshield wiper speed does not operate on intermittent speed.
128,blackout drive light does not turn on when switch is set to blackout mode,e47. BLACKOUT DRIVE LIGHT DOES NOT ILLUMINATE.,"If the blackout drive light fails to illuminate when the main light switch is set to blackout mode, it clearly aligns with the fault code and the troubleshooting procedure's focus on light operation and circuit breakers.",blackout drive light does not illuminate.
129,hazard lights do not turn on when switch is activated,e53. FRONT AND REAR HAZARD LIGHTS DO NOT ILLUMINATE.,"The operator would notice that activating the hazard light switch does not cause either the front or rear hazard lights to illuminate, indicating a problem with the hazard light circuit or controls.",front and rear hazard lights do not illuminate.
130,personnel heater control panel lights do not turn on in the dark,e69. PERSONNEL HEATER CONTROL ILLUMINATION DOES NOT OPERATE.,"If the operator cannot see the illumination on the personnel heater controls during night or low light conditions, it indicates a failure in the control panel's lighting circuit, matching the fault code description.",personnel heater control illumination does not operate.
131,parking lights do not turn on when the main light switch is set to SER DRIVE,e40. PARKING LIGHTS DO NOT ILLUMINATE.,"If the parking lights fail to illuminate when the appropriate switch setting is used, this matches the symptoms described in the fault code and troubleshooting procedure, likely indicating an electrical or circuit breaker issue.",parking lights do not illuminate.
132,steering wheel turns freely but front wheels do not move,p4. NO RESPONSE WHEN TURNING STEERING WHEEL.,"If the steering wheel can be turned without any movement from the front wheels, this directly matches the fault code and suggests a disconnect in the steering mechanism.",no response when turning steering wheel.
133,PTO switch is turned on but no equipment is powered or moves,h1. POWER TAKE-OFF (PTO) DOES NOT ENGAGE.,"If the PTO does not engage despite the operator activating the switch, it indicates a failure to transfer power from the engine to the auxiliary equipment, which is the main indication of a PTO malfunction.",power take-off (pto) does not engage.
134,"none of the vehicle's lights, gauges, or electrical accessories turn on when the ignition is switched on",e3. 24 VDC CIRCUITS DO NOT OPERATE.,"If none of the 24 VDC circuits are working, the operator would notice that all electrically powered systems—such as lights, gauges, or accessories—fail to activate when expected, indicating a total loss of 24 VDC power.",24 vdc circuits do not operate.
135,Front brake air warning light does not come on when air pressure is low,e33. FRONT BRAKE AIR INDICATOR DOES NOT ILLUMINATE WHEN AIR PRESSURE IS BELOW 65 PSI.,"If the air pressure in the front brake system drops below 65 PSI, the operator should see the indicator illuminate. If it does not, this suggests the indicator circuit or bulb may not be functioning properly.",front brake air indicator does not illuminate when air pressure is below 65 psi.
136,fuel gage backlight does not turn on when headlights and panel lights are switched on,e17a. FUEL GAGE DOES NOT ILLUMINATE.,"If the operator notices that the fuel gage remains dark even when the panel lights are supposed to be on, it matches the condition described in the fault code. This observation could be due to a bulb failure or an electrical issue related to the panel lighting circuit.",fuel gage does not illuminate.
137,chemical detector light does not turn on when main light switch is set to SER DRIVE,e24. CHEMICAL DETECTOR INDICATOR DOES NOT ILLUMINATE.,"If the chemical detector indicator fails to illuminate when it should be on, this matches the fault code and points to an electrical issue, such as a tripped circuit breaker or faulty indicator.",chemical detector indicator does not illuminate.
138,air pressure warning light stays on longer than usual after starting the truck,e94. AIR DRYER DOES NOT OPERATE.,"If the air dryer does not operate, moisture may remain in the air system, causing slower air build-up and the pressure warning light to stay on. This is a symptom an operator would likely notice during pre-operation checks.",air dryer does not operate.
139,rear brake air pressure gauge is not moving or is showing incorrect pressure,e8. REAR BRAKE AIR PRESSURE GAGE DOES NOT OPERATE OR IS INACCURATE,"If the rear brake air pressure gauge does not operate or is displaying inaccurate readings while the vehicle is running, it indicates a possible issue with the gauge, air tank pressure, or related systems, as outlined in the troubleshooting steps.",rear brake air pressure gage does not operate or is inaccurate
140,engine turns over but will not start,e5. ENGINE CRANKS BUT DOES NOT START.,"If the operator attempts to start the vehicle and hears the engine cranking but the engine never starts running, this matches the fault code description. This could result from issues with fuel delivery, ignition, or engine control systems.",engine cranks but does not start.
141,engine cooling fan keeps running even after switching radiator fan off switch to off,e89. ENGINE FAN DOES NOT TURN OFF USING RADIATOR FAN OFF SWITCH.,"If the operator notices that the engine fan does not stop running when the radiator fan off switch is used, it suggests a possible electrical fault or issue with the fan control system, as indicated in the troubleshooting procedure.",engine fan does not turn off using radiator fan off switch.
142,Engine does not turn over or make any sound when key is turned to start position,a1. ENGINE DOES NOT CRANK.,"If the engine does not crank, it means there is no response from the starter motor when attempting to start the vehicle, which can be noticed immediately by the operator turning the key and hearing nothing.",engine does not crank.
143,thick black or gray smoke coming from the exhaust while driving,a10. EXCESSIVE BLACK OR GRAY EXHAUST SMOKE.,"Excessive black or gray smoke from the exhaust indicates there is either too much fuel being burned or the air intake is restricted, both of which are addressed in the troubleshooting steps involving the air filter and hoses.",excessive black or gray exhaust smoke.
144,one or both headlights do not turn on when the headlight switch is activated,e37. ONE OR BOTH HEADLIGHTS (HIGH AND LOW BEAMS) DO NOT ILLUMINATE.,"An operator may notice that one or both headlights fail to illuminate when the headlight switch is set to 'SER DRIVE,' which directly matches the described fault code and troubleshooting steps.",one or both headlights (high and low beams) do not illuminate.
145,tachometer needle does not move or provides inconsistent readings while engine is running,e13. TACHOMETER DOES NOT OPERATE OR IS INACCURATE.,"If an operator notices the tachometer is not displaying engine speed or the readings are erratic or incorrect, this aligns with the fault code indicating the tachometer does not operate or is inaccurate.",tachometer does not operate or is inaccurate.
146,loud whining or grinding noise coming from under the vehicle when driving,n1. AXLE DIFFERENTIAL(S) NOISY.,"A noticeable whining or grinding noise from underneath the vehicle while driving is typically associated with axle differential issues, such as worn gears or insufficient lubrication.",axle differential(s) noisy.
147,steering wheel is very difficult to turn or does not move at all,s1. STEERING HARD OR DOES NOT OPERATE.,"Difficulty turning the steering wheel or being unable to steer may indicate issues such as low power steering fluid, hydraulic leak, or a mechanical problem in the steering system as described in the troubleshooting steps.",steering hard or does not operate.
148,air pressure gauge reading continues to rise above 120 PSI during vehicle operation,j5. AIR SYSTEM PRESSURE BUILDS UP MORE THAN 120 PSI (827 KPA) (COMPRESSOR FAILS TO UNLOAD).,"If the compressor fails to unload, the air system pressure will exceed normal operating limits, which an operator would notice as a rising air pressure gauge reading above 120 PSI.",air system pressure builds up more than 120 psi (827 kpa) (compressor fails to unload).
149,the auxiliary panel switch does not light up when the lights are turned on,e20. AUXILIARY PANEL SWITCH DOES NOT ILLUMINATE.,"If the auxiliary panel switch does not illuminate when expected, it could indicate an electrical issue such as a tripped circuit breaker or a faulty bulb or wiring to the switch.",auxiliary panel switch does not illuminate.
150,one or both high beam headlights do not turn on when switched,e39. ONE OR BOTH HEADLIGHT HIGH BEAMS DO NOT ILLUMINATE.,"If an operator notices that the high beams fail to illuminate when activated, it directly matches the fault code and indicates a possible electrical or bulb issue.",one or both headlight high beams do not illuminate.
151,front wheels feel very hot to the touch after short drive and the truck is hard to move after stopping,i4. FRONT BRAKES OVERHEAT AND/OR DO NOT RELEASE.,"Excessive heat from the front wheels and difficulty moving the truck after stopping could indicate that the front brakes are not releasing properly, possibly causing them to overheat.",front brakes overheat and/or do not release.
152,rear brake air warning light does not come on even when air pressure gauge reads below 65 PSI,e34. REAR BRAKE AIR INDICATOR DOES NOT ILLUMINATE WHEN AIR PRESSURE IS BELOW 65 PSI.,The operator would expect the rear brake air indicator light to illuminate when system air pressure drops below the safe threshold; failure to do so suggests a malfunction in the indicator system or related circuitry.,rear brake air indicator does not illuminate when air pressure is below 65 psi.
153,truck drifts to the left when driving straight,"p2. WANDERS, PULLS TO ONE SIDE, OR SHIMMIES.","A vehicle drifting or pulling to one side while moving straight suggests issues with wheel alignment, improper tire pressures, or loose/missing wheel hardware, all identified in the troubleshooting steps.","wanders, pulls to one side, or shimmies."
154,cab tilt control engaged but cab does not lift,v1. CAB DOES NOT RAISE.,"If the operator engages the cab tilt control and the cab fails to rise, this matches the description of the fault and could be due to low hydraulic fluid or a leak in the hydraulic or air systems.",cab does not raise.
155,right stop and turn signal light on trailer does not light up when brakes are applied or turn signal is used,e60. TRAILER RIGHT STOP/TURN LIGHT DOES NOT ILLUMINATE.,"If the right stop/turn light on the trailer does not illuminate when expected, it may indicate a malfunction such as a bad bulb, wiring issue, or connector problem as described by the fault code.",trailer right stop/turn light does not illuminate.
156,Two steady mode indicator lights remain on the CTIS control panel while driving.,m1. TWO STEADY MODE LIGHTS ILLUMINATE ON CENTRAL TIRE INFLATION SYSTEM (CTIS) ECU.,"The operator may notice that, instead of the usual light sequence or single mode indicator, two mode lights persist without blinking, signaling a CTIS system malfunction.",two steady mode lights illuminate on central tire inflation system (ctis) ecu.
157,Suspension stays stiff or does not lower and raise as expected when driving over bumps or operating vehicle controls.,t2. SUSPENSION DOES NOT COMPRESS OR RETURN TO NORMAL PROPERLY.,"If the suspension fails to compress or return to its normal position, the operator may notice the truck rides stiffly or does not adjust after going over uneven terrain or after attempting to adjust cab height.",suspension does not compress or return to normal properly.
158,truck does not slow down or stop when brake pedal is pressed,i6. FRONT BRAKES DO NOT APPLY.,"If pressing the brake pedal does not result in the truck slowing down or stopping, this indicates that the front brakes are not applying, matching the fault code. Loss of brake response is a direct trigger for investigating air brake pressure and brake system faults.",front brakes do not apply.
159,steering wheel turns easily but the wheels do not move,p4. NO RESPONSE WHEN TURNING STEERING WHEEL.,"If the operator turns the steering wheel and notices that the wheels do not respond or move, this directly indicates a lack of steering response, matching the fault code.",no response when turning steering wheel.
160,one or both brake lights do not turn on when pressing the brake pedal,e56. ONE OR BOTH STOPLIGHTS DO NOT ILLUMINATE.,"This observation matches the fault code, as the stoplights are expected to illuminate when the brake pedal is pressed. If they do not, it may indicate electrical problems, blown bulbs, or tripped circuit breakers.",one or both stoplights do not illuminate.
161,van door is open but the warning light does not come on and no alarm sounds,e115. M1079 VAN DOOR OPEN LIGHT DOES NOT ILLUMINATE AND AUDIBLE ALARM,"If the van door is left open and neither the indicator light nor the audible alarm activate, it directly points to the malfunction described by this fault code.",m1079 van door open light does not illuminate and audible alarm
162,one or both blackout stoplights do not turn on when using the blackout mode,e57. ONE OR BOTH BLACKOUT STOPLIGHTS DO NOT OPERATE.,"An operator would notice that when the blackout mode is selected, one or both of the blackout stoplights fail to illuminate, indicating a potential electrical or bulb issue related specifically to the blackout stoplights.",one or both blackout stoplights do not operate.
163,hazard lights switch does not light up when the truck lights are on,e16b. HAZARD LIGHTS SWITCH DOES NOT ILLUMINATE.,"If the hazard lights switch does not illuminate when the lighting controls are set appropriately, it indicates a malfunction with the switch illumination circuit or bulb, as described in the fault code.",hazard lights switch does not illuminate.
164,master power switch does not light up when turned on,e16d. MASTER POWER SWITCH DOES NOT ILLUMINATE.,"The fault code specifically addresses a situation where the master power switch fails to illuminate, indicating a possible issue with the switch, wiring, or associated electrical system components.",master power switch does not illuminate.
165,Vehicle takes longer than usual to stop when applying brakes,i1. EXCESSIVE BRAKING DISTANCE.,"The operator's perception of the truck requiring a greater distance to come to a complete stop directly reflects the core symptom of excessive braking distance, which may be caused by low air pressure or other brake system issues.",excessive braking distance.
166,the right stop/turn light on trailer does not come on when braking or using the turn signal,e60. TRAILER RIGHT STOP/TURN LIGHT DOES NOT ILLUMINATE.,"If the trailer's right stop or turn light does not illuminate when expected, it is likely due to a bulb failure, wiring issue, or a fault in the trailer lighting circuit, as indicated by the fault code.",trailer right stop/turn light does not illuminate.
167,truck pulls to the left when applying brakes,"i5. VEHICLE BRAKES UNEVENLY, BRAKES PULL TO ONE SIDE, OR GRAB.","A truck pulling to one side during braking is a classic sign of uneven brake operation, which could be due to uneven air pressure or mechanical issues in the braking system.","vehicle brakes unevenly, brakes pull to one side, or grab."
168,heater fan does not turn on when switch is activated,e70. PERSONNEL HEATER FAN DOES NOT OPERATE.,"If the personnel heater fan fails to operate when the switch is turned on, it directly corresponds with this fault code, as loss of fan function can result from a tripped circuit breaker or an electrical failure.",personnel heater fan does not operate.
169,volt gauge does not move or shows an incorrect reading when truck is running,e12. VOLTS GAGE DOES NOT OPERATE OR IS INACCURATE.,"If the volt gauge does not respond or displays values that don't match expected battery or system voltage, it points toward electrical issues, such as a tripped circuit breaker or faulty wiring. This is an operator-observable symptom directly highlighted in the fault code and troubleshooting steps.",volts gage does not operate or is inaccurate.
170,one or both blackout stoplights do not turn on when switch is set to blackout mode,e57. ONE OR BOTH BLACKOUT STOPLIGHTS DO NOT OPERATE.,"If the operator notices that one or both blackout stoplights fail to illuminate when the blackout mode is selected, this matches the fault code indicating a possible electrical or circuit breaker issue.",one or both blackout stoplights do not operate.
171,None of the truck’s interior or exterior lights turn on when the light switch is activated,e2. 12 VDC AND/OR 24 VDC CIRCUITS DO NOT OPERATE.,"If the 12VDC or 24VDC circuits are not functioning, electrical components like lights will not operate, which the operator would notice immediately when trying to use them.",12 vdc and/or 24 vdc circuits do not operate.
172,"windshield wipers only work on high speed, not on low speed",e72. WINDSHIELD WIPER DOES NOT OPERATE ON LOW SPEED.,"If the windshield wipers function on high speed but do not operate on low speed, this matches the fault code and suggests a possible electrical or control issue affecting the low speed setting.",windshield wiper does not operate on low speed.
173,engine is running unevenly and does not accelerate well,"a13. ENGINE STARTS BUT MISFIRES, RUNS ROUGH, OR LACKS POWER.","The operator may notice the engine idling poorly or shaking, feeling a lack of response when trying to accelerate, or hearing misfiring sounds, which align with the symptoms described for this fault code.","engine starts but misfires, runs rough, or lacks power."
174,overspeed warning light does not turn on and no change in engine sound when driving at high speed,m6. NO OVERSPEED WARNING LIGHT AND/OR OVERSPEED PRESSURE CHANGE.,An operator would expect the overspeed warning light to illuminate and possibly hear a change in engine tone when the vehicle exceeds safe speed limits. The absence of both visual and auditory signals could indicate a malfunction in the overspeed warning system.,no overspeed warning light and/or overspeed pressure change.
175,truck feels sluggish and does not accelerate normally even when pressing the accelerator pedal,a15. LOW ENGINE POWER.,"A noticeable lack of acceleration or sluggish feeling when trying to gain speed could be due to fuel contamination, low or high engine oil, a restricted air filter, or airflow issues, all of which are covered in the troubleshooting procedures for low engine power.",low engine power.
176,milky or foamy appearance in engine oil when checking dipstick,a7. COOLANT IN ENGINE LUBRICATION OIL.,"A milky or foamy appearance in engine oil indicates contamination from coolant mixing with the oil, which is a key symptom for this malfunction.",coolant in engine lubrication oil.
177,noticing that the engine oil level drops significantly between regular checks,a8. EXCESSIVE ENGINE OIL CONSUMPTION.,"If the engine oil level is consistently low between checks even after refilling, it can indicate excessive oil consumption due to internal engine wear or oil leaks.",excessive engine oil consumption.
178,PTO switch is turned on but equipment does not operate,h1. POWER TAKE-OFF (PTO) DOES NOT ENGAGE.,"If the operator attempts to engage the PTO and notices that the connected equipment does not respond, it indicates that the PTO is not engaging as expected.",power take-off (pto) does not engage.
179,truck does not slow down when brake pedal is pressed,i2. REAR BRAKES DO NOT APPLY.,"If the rear brakes are not applying, the operator would notice that pressing the brake pedal does not slow the vehicle as expected, especially when extra stopping power from the rear is needed. This observation directly aligns with the symptoms the fault code describes.",rear brakes do not apply.
180,spare tire retainer will not come down when operated,v4. SPARE TIRE RETAINER DOES NOT LOWER.,"If the operator tries to lower the spare tire using the control but the retainer does not move, this directly matches the malfunction and can indicate low hydraulic oil, leaks in the system, or other mechanical failure.",spare tire retainer does not lower.
181,milky or frothy appearance in engine oil when checking dipstick,a7. COOLANT IN ENGINE LUBRICATION OIL.,"A milky or frothy appearance in lubrication oil usually indicates contamination with coolant, which could be noticed during a routine oil check. This observation aligns with the fault code for coolant in engine lubrication oil.",coolant in engine lubrication oil.
182,"When pressing the brake pedal, the vehicle does not slow down as expected and it feels like the rear brakes are not working.",i2. REAR BRAKES DO NOT APPLY.,"If the operator notices that braking performance is poor or that the vehicle does not slow down properly, especially if the rear wheels do not seem to engage, this observation could indicate that the rear brakes are not applying.",rear brakes do not apply.
183,crane will not move or respond to controls when activated,u18. LIGHT MATERIAL HANDLING CRANE (LMHC) DOES NOT OPERATE.,"If the operator attempts to use the LMHC and it does not move or respond at all, this aligns with the fault of complete inoperability, possibly due to electrical issues such as a tripped circuit breaker.",light material handling crane (lmhc) does not operate.
184,Master power switch does not light up when turned on,e16d. MASTER POWER SWITCH DOES NOT ILLUMINATE.,"The observation directly reflects the fault code, indicating the operator notices that the master power switch fails to illuminate, suggesting an electrical issue with the switch or related circuits.",master power switch does not illuminate.
185,cab does not level or adjust height as expected,t3. CAB LEVELING AIR SPRINGS DO NOT OPERATE PROPERLY.,"If the operator notices that the cab fails to level itself or adjust height, this could indicate a fault with the air springs, air lines, or CTIS system, as referenced in the troubleshooting steps.",cab leveling air springs do not operate properly.
186,left turn signal indicator does not light up on the dashboard when using the turn signal,e25. LEFT TURN SIGNAL INDICATOR DOES NOT ILLUMINATE.,"If the left turn signal indicator does not light up when the operator activates the turn signal, it directly matches the fault code and could be due to bulb failure, wiring issues, or a tripped circuit breaker.",left turn signal indicator does not illuminate.
187,two mode indicator lights are continuously illuminated on the CTIS control panel,m1. TWO STEADY MODE LIGHTS ILLUMINATE ON CENTRAL TIRE INFLATION SYSTEM (CTIS) ECU.,"The observation directly matches the fault code and troubleshooting procedure, as the operator is expected to report the steady illumination of the two mode lights on the CTIS ECU, which may indicate a system malfunction requiring maintenance intervention.",two steady mode lights illuminate on central tire inflation system (ctis) ecu.
188,transmission temperature light does not turn on when starting the vehicle,e32. TRANSMISSION TEMPERATURE INDICATOR DOES NOT ILLUMINATE.,"The transmission temperature indicator should illuminate as part of the vehicle's initial system checks when the ignition is turned on. If it does not, this could indicate an electrical issue, such as a tripped circuit breaker or a faulty bulb.",transmission temperature indicator does not illuminate.
189,One or both rear taillights do not turn on when the light switch is set to SER DRIVE.,e45. ONE OR BOTH COMPOSITE TAILLIGHTS DO NOT ILLUMINATE.,"This observation directly corresponds to the fault code, as the procedure investigates possible causes for taillights not illuminating, such as blown circuit breakers, but ultimately the issue is that the taillights do not light up when expected.",one or both composite taillights do not illuminate.
190,110 VAC outlet J232 does not supply power when equipment is plugged in during normal truck operation,e105. M1079 110 VAC OUTLET J232 DOES NOT OPERATE IN NORMAL MODE.,"If the 110 VAC outlet J232 does not work in normal mode, the operator would likely notice that devices plugged into the outlet are not receiving power, indicating an outlet or power supply issue.",m1079 110 vac outlet j232 does not operate in normal mode.
